question,answer01,answer02,answer03,answer04,answerScore01,answerScore02,answerScore03,answerScore04,qitemNo,group,계열
광고를 위한 그림과 이미지를 디자인한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,55,6,예체능계열
"책의 표지와 글자, 그림 등을 편집하고 디자인한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,56,6,예체능계열
가상공간의 캐릭터나 아바타의 패션 또는 메이크업을 디자인한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,57,6,예체능계열
만화를 그려 친구들에게 보여주거나 웹에 제공한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,58,6,예체능계열
"무대, 조명, 음향, 의상 등 공연 전반에 대한 지식을 가지고 공연을 기획한다. ",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,59,6,예체능계열
"연극, 영화, 방송 출연자들의 얼굴을 극의 분위기에 맞게 분장한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,60,6,예체능계열
"영상을 촬영, 편집, 제작하여 동영상 공유 플랫폼에 올린다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,61,6,예체능계열
디지털 마케팅이나 웹 속에서 광고를 기획하고 관리한다. ,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,62,6,예체능계열
"연극, 영화, 방송 프로그램의 무대장치를 디자인하고 설치한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,63,6,예체능계열
운동 경기 규칙에 대한 정확한 지식을 바탕으로 경기를 진행한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,64,7,예체능계열
운동경기에서 선수로 활약한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,65,7,예체능계열
운동 프로그램을 개발하고 가르친다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,66,7,예체능계열
운동선수들의 건강상태를 확인하고 훈련을 돕는다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,67,7,예체능계열
헬스장에서 운동하는 사람들의 자세를 교정하고 지도한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,68,7,예체능계열
"운동 종목의 역사, 출전 선수의 경기 스타일과 기록을 알아본다. ",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,69,7,예체능계열
학교 체육대회에서 경기의 진행과 심판을 돕는다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,70,7,예체능계열
스포츠 관련 정보를 수집·분석하고 방송에서 경기를 해설한다.,매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,71,7,예체능계열
"선수의 협상, 계약, 이적, 마케팅 등의 업무를 대리하고 관리서비스를 제공한다.",매우 싫다,약간 싫다,약간 좋다,매우 좋다,1,2,3,4,72,7,예체능계열
